alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Barat,1600000000,3,70,108
Bandung Barat,1350000000,3,150,93
Bandung Utara,4000000000,4,270,337
Bandung Utara,3700000000,5,300,320
Bandung Timur,4500000000,4,500,350
Bandung Utara,17000000000,10,1200,675
Bandung Utara,5250000000,3,300,350
Bandung Timur,4000000000,4,550,326
Bandung Selatan,5500000000,5,250,512
Bandung Timur,303450000,2,30,60
Bandung Utara,12500000000,4,650,536
Bandung Tengah,1800000000,2,90,107
Bandung Barat,6500000000,4,400,1065
Bandung Barat,3500000000,4,350,696
Bandung Selatan,750000000,2,50,150
Bandung Utara,480000000,2,42,72
Bandung Timur,300000000,2,36,72
Bandung Timur,499000000,2,42,75
Bandung Utara,1800000000,3,250,150
Bandung Selatan,2500000000,10,450,164
Bandung Utara,5500000000,5,350,495
Bandung Barat,2700000000,4,230,174
Bandung Timur,NA,NA,NA,NA
